City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
529,Yulara,AU,82.24,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
533,Sabha,LY,76.41,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
536,Cabedelo,BR,75.87,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
543,Oistins,BB,82.49,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
544,Cassilandia,BR,77.99,scattered clouds,-19.1133,-51.7342,Delirius Motel
548,Brandon,US,81.86,clear sky,27.9378,-82.2859,Brandon Motor Lodge
549,Banjar,ID,84.06,broken clouds,-8.19,114.9675,The Hamsa Resort
558,Port Maria,JM,84.16,clear sky,18.3685,-76.8895,Galina Breeze Hotel
559,Matara,LK,81.16,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
561,San Andres,CO,83.19,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
563,Katobu,ID,87.8,few clouds,-4.9408,122.5276,La Ode Husein
565,Saint George,US,84.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
569,Kanigoro,ID,87.58,scattered clouds,-8.13,112.219,Musafer Villa ( Villa Erlin )
571,Carmen,MX,81.52,overcast clouds,18.6333,-91.8333,Hotel Lossandes
574,Paracuru,BR,80.62,scattered clouds,-3.41,-39.0306,Hotel Vento Brasil
582,Iracoubo,GF,79.74,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
583,Umm Lajj,SA,81.19,clear sky,25.0213,37.2685,Moon light Furnished Units
586,Galesong,ID,87.82,overcast clouds,-5.3166,119.3661,Sapriadi Appy
588,Buala,SB,85.75,light rain,-8.145,159.5921,Maringe Lagoon Lodge
589,Trinidad,BO,79.66,clear sky,-14.8333,-64.9,Hotel Piesta
596,Chirongui,YT,76.93,clear sky,-12.9319,45.1483,La Villa Mahatsara
597,Tecoanapa,MX,80.47,overcast clouds,16.5167,-98.75,Hotel Manglares
601,Nizwa,OM,84.16,overcast clouds,22.9333,57.5333,Orient Apartments
604,Huangchuan,CN,89.56,scattered clouds,32.1272,115.0394,Guangzhou International Hotel
605,Tahoua,NE,78.78,clear sky,14.8888,5.2692,Bungalows Guesthouse
