City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
116,La Ronge,55.1001,-105.2842,46.65,87,90,2.3,CA,overcast clouds
117,Mae Sai,20.4335,99.8762,83.44,58,100,4.54,TH,overcast clouds
118,Pingliang,35.5392,106.6861,59.65,98,100,2.8,CN,light rain
119,Belle Fourche,44.6714,-103.8522,57.85,48,15,1.41,US,few clouds
120,Chuy,-33.6971,-53.4616,56.35,96,59,6.17,UY,broken clouds
121,Bredasdorp,-34.5322,20.0403,43.92,93,98,3.44,ZA,overcast clouds
122,Shakawe,-18.3667,21.85,63.46,32,0,5.37,BW,clear sky
123,Khatanga,71.9667,102.5,33.48,76,100,10.29,RU,overcast clouds
124,Villazon,-22.0866,-65.5942,46.58,74,3,11.48,BO,clear sky
125,Qui Nhon,13.7667,109.2333,80.11,79,100,1.32,VN,moderate rain
126,Arawa,-6.2132,155.5367,83.48,76,59,5.35,PG,light rain
127,Srednekolymsk,67.45,153.6833,42.57,58,100,11.95,RU,overcast clouds
128,Provideniya,64.3833,-173.3,33.35,89,100,15.7,RU,overcast clouds
129,Muros,42.7762,-9.0603,64.24,94,73,5.64,ES,broken clouds
130,Severo-Kurilsk,50.6789,156.125,47.8,93,100,30.8,RU,light rain
131,Abha,18.2164,42.5053,60.62,67,0,0.0,SA,clear sky
132,Hasaki,35.7333,140.8333,79.29,70,78,17.96,JP,broken clouds
133,Sinnamary,5.3833,-52.95,79.63,87,96,8.55,GF,overcast clouds
134,Yar-Sale,66.8333,70.8333,36.01,81,15,6.13,RU,few clouds
135,La Reforma,25.0833,-108.05,85.14,77,7,5.3,MX,clear sky
136,Tura,25.5198,90.2201,84.74,71,9,1.7,IN,clear sky
137,Puerto Carreno,6.189,-67.4859,73.89,94,85,0.54,CO,heavy intensity rain
138,Coquimbo,-29.9533,-71.3436,55.13,87,90,1.14,CL,overcast clouds
139,Manadhoo,5.7667,73.3833,82.31,72,100,15.57,MV,overcast clouds
140,Fortuna,40.5982,-124.1573,69.19,63,34,3.0,US,scattered clouds
141,Kahului,20.8947,-156.47,80.62,74,40,24.16,US,scattered clouds
142,Tres Arroyos,-38.3739,-60.2798,52.65,85,0,11.36,AR,clear sky
143,Port Keats,-14.25,129.55,86.7,46,44,10.6,AU,scattered clouds
144,Bathsheba,13.2167,-59.5167,83.01,78,75,10.36,BB,broken clouds
145,Bengkulu,-3.8004,102.2655,83.05,72,97,3.62,ID,overcast clouds
146,Cidreira,-30.1811,-50.2056,60.06,85,34,2.91,BR,scattered clouds
147,Ilulissat,69.2167,-51.1,23.02,58,75,3.44,GL,broken clouds
148,Solvychegodsk,61.3305,46.9156,46.45,97,100,6.29,RU,light rain
149,Waddan,29.1614,16.139,70.66,70,0,6.71,LY,clear sky
150,Hobart,-42.8794,147.3294,51.06,61,40,4.0,AU,scattered clouds
151,Isangel,-19.55,169.2667,77.11,69,75,5.75,VU,broken clouds
152,Scarborough,54.2797,-0.4044,64.22,95,100,5.55,GB,overcast clouds
153,Uporovo,56.3109,66.2693,42.89,63,42,4.85,RU,scattered clouds
154,Camana,-16.6228,-72.7111,63.52,76,4,7.58,PE,clear sky
155,Itoman,26.1247,127.6694,89.98,74,40,10.36,JP,scattered clouds
