City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
93,Ilovka,RU,2021-09-21 20:27:12,50.7053,38.637,48.24,89,100,6.24
94,Cherskiy,RU,2021-09-21 20:27:12,68.75,161.3,27.34,68,100,5.1
95,Havre-Saint-Pierre,CA,2021-09-21 20:27:12,50.2334,-63.5986,62.96,67,1,9.22
96,Voh,NC,2021-09-21 20:27:13,-20.9667,164.7,69.85,66,47,3.89
97,Mitu,CO,2021-09-21 20:27:13,1.1983,-70.1733,80.22,86,100,1.52
98,Sorsk,RU,2021-09-21 20:27:13,54.0033,90.2467,29.68,91,100,4.65
99,Srednekolymsk,RU,2021-09-21 20:27:14,67.45,153.6833,29.62,53,100,1.41
100,Port Elizabeth,ZA,2021-09-21 20:24:37,-33.918,25.5701,52.09,87,40,0.0
101,Port Alfred,ZA,2021-09-21 20:27:14,-33.5906,26.891,57.09,75,98,1.32
102,Yeppoon,AU,2021-09-21 20:27:15,-23.1333,150.7333,51.58,42,0,13.76
103,Nha Trang,VN,2021-09-21 20:27:15,12.25,109.1833,78.8,91,78,4.45
104,Thompson,CA,2021-09-21 20:25:07,55.7435,-97.8558,48.36,57,75,5.75
105,Salalah,OM,2021-09-21 20:23:19,17.0151,54.0924,80.69,83,75,5.75
106,Ponta Delgada,PT,2021-09-21 20:27:16,37.7333,-25.6667,72.32,68,75,8.05
107,Barrow,US,2021-09-21 20:27:16,71.2906,-156.7887,33.82,69,90,20.71
108,Port Hardy,CA,2021-09-21 20:27:17,50.6996,-127.4199,60.98,77,90,10.36
109,Kisoro,UG,2021-09-21 20:27:17,-1.2854,29.685,59.34,81,89,0.94
110,Hilo,US,2021-09-21 20:23:01,19.7297,-155.09,78.8,78,90,5.75
111,Mwene-Ditu,CD,2021-09-21 20:27:18,-7.0,23.45,78.67,34,24,3.78
112,Upernavik,GL,2021-09-21 20:27:18,72.7868,-56.1549,21.74,51,12,6.06
113,Vaini,TO,2021-09-21 20:27:18,-21.2,-175.2,75.36,78,75,10.36
114,Andros Town,BS,2021-09-21 20:27:19,24.7,-77.7667,87.76,65,99,10.71
115,Saint-Philippe,RE,2021-09-21 20:27:19,-21.3585,55.7679,65.79,75,41,9.91
116,Hermanus,ZA,2021-09-21 20:27:19,-34.4187,19.2345,55.9,79,11,11.5
117,Oistins,BB,2021-09-21 20:26:47,13.0667,-59.5333,87.89,66,40,14.97
118,Kenai,US,2021-09-21 20:23:42,60.5544,-151.2583,45.09,38,90,13.8
119,Khanapur,IN,2021-09-21 20:27:20,15.6333,74.5167,69.06,94,92,6.71
120,Tual,ID,2021-09-21 20:27:20,-5.6667,132.75,80.83,79,100,19.98
121,Tura,IN,2021-09-21 20:27:21,25.5198,90.2201,73.33,82,100,1.68
122,Noumea,NC,2021-09-21 20:23:15,-22.2763,166.4572,66.18,73,11,4.68
123,Longyearbyen,SJ,2021-09-21 20:27:21,78.2186,15.6401,42.64,93,75,2.3
124,Viseu,PT,2021-09-21 20:23:45,40.661,-7.9097,67.73,48,0,11.74
125,Port Hedland,AU,2021-09-21 20:27:21,-20.3167,118.5667,80.65,10,100,18.41
126,Lazaro Cardenas,MX,2021-09-21 20:24:09,17.9583,-102.2,85.3,70,100,7.78
127,Vardo,NO,2021-09-21 20:27:22,70.3705,31.1107,40.98,70,20,19.57
128,Nyurba,RU,2021-09-21 20:27:22,63.2842,118.3319,35.76,91,94,4.25
129,San Patricio,US,2021-09-21 20:27:23,28.017,-97.5169,98.69,42,4,12.39
130,Maniitsoq,GL,2021-09-21 20:27:23,65.4167,-52.9,33.91,66,95,3.47
131,Quatre Cocos,MU,2021-09-21 20:27:23,-20.2078,57.7625,70.09,72,11,12.59
132,Butaritari,KI,2021-09-21 20:27:23,3.0707,172.7902,83.16,70,93,15.75
133,Ginir,ET,2021-09-21 20:27:24,7.1333,40.7,61.63,72,5,5.55
134,Toktogul,KG,2021-09-21 20:27:24,41.8708,72.9402,62.78,38,0,0.83
135,Hithadhoo,MV,2021-09-21 20:27:24,-0.6,73.0833,82.8,76,100,15.48
136,Inhambane,MZ,2021-09-21 20:27:25,-23.865,35.3833,70.02,76,80,18.66
137,Castro,BR,2021-09-21 20:27:25,-24.7911,-50.0119,76.6,59,72,10.09
138,Taoudenni,ML,2021-09-21 20:27:26,22.6783,-3.9836,102.34,7,0,8.25
139,Abbeville,FR,2021-09-21 20:27:26,50.1,1.8333,57.69,73,61,3.15
140,Lebu,CL,2021-09-21 20:27:26,-37.6167,-73.65,56.03,64,0,6.87
141,Aasiaat,GL,2021-09-21 20:27:27,68.7098,-52.8699,26.58,90,56,3.62
142,Lavrentiya,RU,2021-09-21 20:27:27,65.5833,-171.0,32.92,64,13,8.52
143,Castrovillari,IT,2021-09-21 20:27:27,39.8203,16.2123,67.3,65,100,3.74
144,Mpigi,UG,2021-09-21 20:27:28,0.225,32.3136,63.5,84,100,2.98
145,Kodiak,US,2021-09-21 20:27:28,57.79,-152.4072,43.9,47,0,29.24
146,Manaus,BR,2021-09-21 20:27:28,-3.1019,-60.025,91.9,58,40,9.22
147,Fredericksburg,US,2021-09-21 20:23:45,38.3032,-77.4605,83.01,66,90,3.0
148,Sur,OM,2021-09-21 20:24:33,22.5667,59.5289,86.16,63,28,12.84
149,Souillac,MU,2021-09-21 20:27:29,-20.5167,57.5167,70.36,68,75,8.05
150,Tahta,EG,2021-09-21 20:27:29,26.7693,31.5021,93.52,21,0,13.62
151,Qasigiannguit,GL,2021-09-21 20:27:30,68.8193,-51.1922,27.63,89,93,2.17
152,Lasa,IT,2021-09-21 20:27:30,46.6166,10.7002,54.01,83,28,4.43
153,Alofi,NU,2021-09-21 20:27:30,-19.0595,-169.9187,75.09,94,75,11.5
154,Corsicana,US,2021-09-21 20:27:31,32.0954,-96.4689,87.57,42,26,18.43
155,New Norfolk,AU,2021-09-21 20:27:31,-42.7826,147.0587,54.9,76,70,4.63
156,Merauke,ID,2021-09-21 20:27:31,-8.4667,140.3333,75.88,88,67,10.78
157,Bethel,US,2021-09-21 20:24:38,41.3712,-73.414,76.1,75,75,1.01
158,Malumfashi,NG,2021-09-21 20:27:32,11.7853,7.6218,76.24,70,14,9.46
159,Beringovskiy,RU,2021-09-21 20:27:32,63.05,179.3167,37.62,98,100,11.41
160,East London,ZA,2021-09-21 20:27:33,-33.0153,27.9116,60.42,59,100,1.21
161,Tutoia,BR,2021-09-21 20:27:33,-2.7619,-42.2744,84.18,73,49,12.64
162,Dosso,NE,2021-09-21 20:27:34,13.049,3.1937,87.76,51,100,8.5
163,Bambous Virieux,MU,2021-09-21 20:27:34,-20.3428,57.7575,70.21,68,75,8.05
164,Mar Del Plata,AR,2021-09-21 20:27:35,-38.0023,-57.5575,52.54,59,0,8.12
165,Santa Cruz,BO,2021-09-21 20:27:35,-17.8,-63.1667,85.46,39,40,19.57
166,Esperance,AU,2021-09-21 20:27:36,-33.8667,121.9,48.04,41,1,16.91
167,Kapaa,US,2021-09-21 20:27:36,22.0752,-159.319,82.38,71,20,5.01
168,Andenes,NO,2021-09-21 20:27:36,69.3143,16.1194,49.98,62,75,20.71
169,Leninsk,RU,2021-09-21 20:27:37,48.7119,45.1994,57.06,91,100,5.99
170,Damghan,IR,2021-09-21 20:27:37,36.1683,54.348,73.98,41,0,3.31
171,Faanui,PF,2021-09-21 20:27:37,-16.4833,-151.75,78.33,72,11,8.84
172,Kropotkin,RU,2021-09-21 20:27:38,45.4375,40.5756,58.69,89,100,6.6
173,Iranshahr,IR,2021-09-21 20:27:38,27.2025,60.6848,93.54,31,20,6.91
174,Malakal,SS,2021-09-21 20:27:38,9.5334,31.6605,69.03,94,100,2.91
175,Saskylakh,RU,2021-09-21 20:27:39,71.9167,114.0833,31.77,89,100,7.52
176,Rome,US,2021-09-21 20:25:26,34.257,-85.1647,85.6,73,40,0.0
177,Baruun-Urt,MN,2021-09-21 20:27:39,46.6806,113.2792,50.94,72,6,3.85
178,Huarmey,PE,2021-09-21 20:27:36,-10.0681,-78.1522,68.54,72,8,12.88
179,Panuco,MX,2021-09-21 20:27:40,22.05,-98.1667,87.98,60,70,8.61
180,Tilichiki,RU,2021-09-21 20:27:40,60.4667,166.1,44.87,91,100,8.5
181,Mendoza,AR,2021-09-21 20:27:41,-32.8908,-68.8272,71.13,28,0,13.8
182,Dauphin,CA,2021-09-21 20:27:41,51.1494,-100.0502,68.14,32,1,13.8
183,Honningsvag,NO,2021-09-21 20:27:41,70.9821,25.9704,45.21,72,9,31.97
184,Khatanga,RU,2021-09-21 20:27:41,71.9667,102.5,29.88,95,57,11.07
185,Sakaiminato,JP,2021-09-21 20:27:42,35.55,133.2333,76.98,78,75,4.61
186,Chokurdakh,RU,2021-09-21 20:27:42,70.6333,147.9167,26.91,75,88,8.34
187,Bumba,CD,2021-09-21 20:27:42,2.1833,22.4667,72.79,91,100,1.39
188,Mana,GF,2021-09-21 20:27:43,5.6592,-53.7767,83.7,72,57,8.93
189,Laguna,US,2021-09-21 20:27:43,38.421,-121.4238,98.44,26,1,1.01
190,Pitogo,PH,2021-09-21 20:27:43,13.7847,122.0881,77.94,89,99,4.16
191,Trairi,BR,2021-09-21 20:25:12,-3.2778,-39.2689,80.28,69,14,14.14
192,Jiangyou,CN,2021-09-21 20:27:44,31.7667,104.7167,72.54,86,86,0.76
193,Canon City,US,2021-09-21 20:27:44,38.441,-105.2424,70.61,33,1,1.99
194,Mehamn,NO,2021-09-21 20:27:45,71.0357,27.8492,42.71,69,8,23.04
195,Svetlyy,RU,2021-09-21 20:27:45,54.675,20.1347,51.85,71,100,7.83
196,Bundaberg,AU,2021-09-21 20:27:45,-24.85,152.35,50.29,43,0,10.36
197,Beloha,MG,2021-09-21 20:27:46,-25.1667,45.05,66.45,89,15,5.44
198,Isangel,VU,2021-09-21 20:27:46,-19.55,169.2667,75.31,73,95,5.75
199,Kruisfontein,ZA,2021-09-21 20:27:46,-34.0033,24.7314,48.88,88,9,3.22
200,Arman,RU,2021-09-21 20:27:47,59.7,150.1667,40.48,80,99,10.65
201,Portland,US,2021-09-21 20:27:09,45.5234,-122.6762,84.52,38,75,1.01
202,Dese,ET,2021-09-21 20:27:47,11.1333,39.6333,55.92,55,28,2.82
203,Road Town,VG,2021-09-21 20:27:30,18.4167,-64.6167,85.19,89,75,12.66
204,Sahuaripa,MX,2021-09-21 20:27:47,29.05,-109.2333,94.37,35,27,4.83
205,Gobabis,NA,2021-09-21 20:27:48,-22.45,18.9667,65.1,18,9,11.7
206,Aykhal,RU,2021-09-21 20:27:48,66.0,111.5,38.95,79,100,3.65
207,Chara,RU,2021-09-21 20:27:48,56.9064,118.2631,50.27,83,93,1.77
208,Dakar,SN,2021-09-21 20:27:49,14.6937,-17.4441,84.33,79,86,0.0
